"id","kind","module","title","owner","execution","reason","delivery","authority"
"M01-HT-01","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-02","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-03","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-04","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-05","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-06","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-07","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-08","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-09","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M01-HT-10","MODULE_HT","M01","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-01","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-02","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-03","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-04","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-05","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-06","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-07","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-08","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-09","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M02-HT-10","MODULE_HT","M02","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-01","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-02","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-03","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-04","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-05","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-06","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-07","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-08","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-09","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-10","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-11","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M03-HT-12","MODULE_HT","M03","Expanded module acceptance criterion","S07_CUSTOMER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-01","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
